dataset_name,seed,fold_id,model,task_type,n_train,n_test,n_classes,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,mcc,auroc_macro_ovr,auprc_macro_ovr,log_loss,brier_multiclass,fit_seconds,pred_seconds,model_params_json,notes
thyroid,43,1,orf_style,multiclass,193,22,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33996718142318233,0.18916363636363656,17.448401924222708,0.019922055304050446,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.136
thyroid,43,2,orf_style,multiclass,193,22,3,0.8636363636363636,0.8722222222222222,0.8345648604269295,0.8095238095238096,0.8722222222222222,0.73543550676819,0.9704747981063769,0.9480994152046783,0.42542635978363913,0.25046590909090927,17.685157135128975,0.020508859306573868,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.182
thyroid,43,3,orf_style,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9408866995073892,0.9166666666666666,0.9777777777777779,0.9152086306448588,1.0,1.0,0.3267318027002417,0.17472500000000019,17.1161668933928,0.02105272375047207,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.182
thyroid,43,4,orf_style,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9514687100893998,0.9333333333333332,0.9777777777777779,0.9147029422212679,0.9904761904761905,0.9962962962962963,0.4804946913219442,0.2671113636363638,15.613765578716993,0.020834794268012047,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.136
thyroid,43,5,orf_style,multiclass,194,21,3,0.9523809523809523,0.8888888888888888,0.9225806451612902,0.9791666666666666,0.8888888888888888,0.8941021220482384,1.0,1.0,0.3184765556703468,0.16760238095238109,18.766636734828353,0.021337470039725304,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.095
thyroid,43,6,orf_style,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3564265492868832,0.1986142857142859,17.76668681949377,0.01955214887857437,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.143
thyroid,43,7,orf_style,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38135659926107185,0.21334285714285722,16.72023114748299,0.01952245458960533,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.143
thyroid,43,8,orf_style,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3501656488441247,0.19239285714285734,17.507907889783382,0.01919681951403618,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.143
thyroid,43,9,orf_style,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36303605690099067,0.2046190476190478,16.84110468439758,0.021162062883377075,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.143
thyroid,44,0,orf_style,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9514687100893998,0.9333333333333332,0.9777777777777779,0.9147029422212679,0.9904761904761905,0.9962962962962963,0.37301543681147264,0.21247954545454564,17.56634694337845,0.021396242082118988,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":false,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",pred_mismatch_rate=0.136
