seed,fold,model_name,rank,feature_name,mi_score
45,8,bworf_mi,1,D547,0.10235877034774532
45,8,bworf_mi,2,D185,0.08032668153752831
45,8,bworf_mi,3,D683,0.07794391535618406
45,8,bworf_mi,4,D190,0.07538869143866522
45,8,bworf_mi,5,D191,0.07442311516802058
45,8,bworf_mi,6,D141,0.07364235777689943
45,8,bworf_mi,7,D425,0.07303534929875921
45,8,bworf_mi,8,D444,0.07249642348752161
45,8,bworf_mi,9,D367,0.07199166647675503
45,8,bworf_mi,10,D272,0.0703665195568366
45,8,bworf_mi,11,D316,0.06857884717433427
45,8,bworf_mi,12,D315,0.0676057110487498
45,8,bworf_mi,13,D333,0.06571427566644306
45,8,bworf_mi,14,D424,0.06360304007139983
45,8,bworf_mi,15,D277,0.06253374313457094
45,8,bworf_mi,16,D715,0.06205038776435412
45,8,bworf_mi,17,D233,0.06201025895227619
45,8,bworf_mi,18,D420,0.061578172779907625
45,8,bworf_mi,19,D516,0.06147475143667158
45,8,bworf_mi,20,D477,0.060896327957833174
45,8,bworf_mi,21,D312,0.06024117349127067
45,8,bworf_mi,22,D545,0.059349046849316744
45,8,bworf_mi,23,D519,0.058569858088241
45,8,bworf_mi,24,D555,0.05785665994574862
45,8,bworf_mi,25,D213,0.056538673179211685
45,8,bworf_mi,26,D746,0.056102796867445015
45,8,bworf_mi,27,D226,0.055691125265406205
45,8,bworf_mi,28,D271,0.055261858868062674
45,8,bworf_mi,29,D135,0.05504542010032498
45,8,bworf_mi,30,D262,0.05477058959731318
45,8,bworf_mi,31,D376,0.054718761619239276
45,8,bworf_mi,32,D676,0.05450369295834978
45,8,bworf_mi,33,D267,0.054293536555011235
45,8,bworf_mi,34,D301,0.05410599459402565
45,8,bworf_mi,35,D561,0.05409756117528053
45,8,bworf_mi,36,D721,0.053800710204625624
45,8,bworf_mi,37,D612,0.05358438101170515
45,8,bworf_mi,38,D167,0.053531211769213716
45,8,bworf_mi,39,D421,0.05351157060398837
45,8,bworf_mi,40,D149,0.05351041014414526
45,8,bworf_mi,41,D192,0.05348628281029577
45,8,bworf_mi,42,D600,0.053224354176435895
45,8,bworf_mi,43,D330,0.05311587405232032
45,8,bworf_mi,44,D302,0.052870421456281624
45,8,bworf_mi,45,D238,0.05280150101700265
45,8,bworf_mi,46,D589,0.05266786645420307
45,8,bworf_mi,47,D437,0.05255905797742533
45,8,bworf_mi,48,D573,0.052355683390221675
45,8,bworf_mi,49,D123,0.0518654468544304
45,8,bworf_mi,50,D697,0.05116480423965286
45,8,bworf_mi,51,D722,0.05112354525549767
45,8,bworf_mi,52,D230,0.050592199297725404
45,8,bworf_mi,53,D560,0.05058440262746644
45,8,bworf_mi,54,D245,0.04998155397470949
