seed,fold,model_name,rank,feature_name,mi_score
43,4,bworf_mi,1,D547,0.09293402179365673
43,4,bworf_mi,2,D420,0.08547298799947045
43,4,bworf_mi,3,D708,0.08199299926653114
43,4,bworf_mi,4,D033,0.07995161588762922
43,4,bworf_mi,5,D291,0.07797503773535697
43,4,bworf_mi,6,D161,0.0764077749462786
43,4,bworf_mi,7,D201,0.07587902164248694
43,4,bworf_mi,8,D134,0.07557363612577084
43,4,bworf_mi,9,D407,0.07445155066318909
43,4,bworf_mi,10,D425,0.07253068608467395
43,4,bworf_mi,11,D271,0.07198979623650681
43,4,bworf_mi,12,D185,0.07190663987919166
43,4,bworf_mi,13,D516,0.0709624038052159
43,4,bworf_mi,14,D167,0.06995110526838721
43,4,bworf_mi,15,D574,0.06900073005843987
43,4,bworf_mi,16,D444,0.0681848447108302
43,4,bworf_mi,17,D048,0.06698240867101801
43,4,bworf_mi,18,D224,0.06574244448213151
43,4,bworf_mi,19,D704,0.06563984396642009
43,4,bworf_mi,20,D694,0.06428640200974
43,4,bworf_mi,21,D303,0.06350776757522358
43,4,bworf_mi,22,D513,0.06302983538778983
43,4,bworf_mi,23,D606,0.062183787233727195
43,4,bworf_mi,24,D238,0.06134089224572303
43,4,bworf_mi,25,D619,0.06087551247600009
43,4,bworf_mi,26,D709,0.05968931892736484
43,4,bworf_mi,27,D190,0.0593667736204293
43,4,bworf_mi,28,D571,0.05828642203999701
43,4,bworf_mi,29,D746,0.05660823480806365
43,4,bworf_mi,30,D424,0.05660729672461473
43,4,bworf_mi,31,D251,0.0559321905564214
43,4,bworf_mi,32,D191,0.055845716211742724
43,4,bworf_mi,33,D438,0.0552003351985666
43,4,bworf_mi,34,D546,0.05500844350754064
43,4,bworf_mi,35,D242,0.054657892970959576
43,4,bworf_mi,36,D233,0.054584126716595405
43,4,bworf_mi,37,D477,0.054550211123632675
43,4,bworf_mi,38,D519,0.05416376176323889
43,4,bworf_mi,39,D367,0.054127760506875955
43,4,bworf_mi,40,D149,0.05411280197108703
43,4,bworf_mi,41,D587,0.0537127947868874
43,4,bworf_mi,42,D123,0.05357952344258221
43,4,bworf_mi,43,D141,0.0533994185708464
43,4,bworf_mi,44,D088,0.053174706399915506
43,4,bworf_mi,45,D213,0.05311361946408044
43,4,bworf_mi,46,D747,0.05301831979689786
43,4,bworf_mi,47,D464,0.05294598215856139
43,4,bworf_mi,48,D417,0.05260981596977232
43,4,bworf_mi,49,D523,0.05251567617370512
43,4,bworf_mi,50,D200,0.05247112410256083
43,4,bworf_mi,51,D272,0.05233321061274143
43,4,bworf_mi,52,D426,0.051734200879631986
43,4,bworf_mi,53,D262,0.05163884316359191
43,4,bworf_mi,54,D296,0.05152630923827184
43,4,bworf_mi,55,D428,0.050888386551588116
43,4,bworf_mi,56,D598,0.050772910504940816
43,4,bworf_mi,57,D348,0.05067263761740537
43,4,bworf_mi,58,D630,0.05056529382035291
43,4,bworf_mi,59,D182,0.050496376235782625
43,4,bworf_mi,60,D316,0.05023645931227705
43,4,bworf_mi,61,D517,0.04969417077367666
43,4,bworf_mi,62,D192,0.049686001076862274
43,4,bworf_mi,63,D168,0.04952800862611384
43,4,bworf_mi,64,D416,0.04908652166891403
43,4,bworf_mi,65,D302,0.04832275898460758
43,4,bworf_mi,66,D184,0.04817589634782138
43,4,bworf_mi,67,D172,0.04791812150521069
43,4,bworf_mi,68,D560,0.04788870419315039
43,4,bworf_mi,69,D315,0.04765885420924021
43,4,bworf_mi,70,D183,0.047483765493366414
43,4,bworf_mi,71,D301,0.047373924958588054
43,4,bworf_mi,72,D307,0.0473697786639633
43,4,bworf_mi,73,D624,0.047241039417043496
43,4,bworf_mi,74,D165,0.04704991630107691
43,4,bworf_mi,75,D539,0.04662557435642811
43,4,bworf_mi,76,D265,0.04644337735912196
43,4,bworf_mi,77,D625,0.046332406074091725
43,4,bworf_mi,78,D113,0.045811027387830494
43,4,bworf_mi,79,D600,0.04552022710517445
43,4,bworf_mi,80,D153,0.04516035779433181
43,4,bworf_mi,81,D545,0.04472164853785454
43,4,bworf_mi,82,D125,0.044491732848025656
43,4,bworf_mi,83,D293,0.04446374568029299
43,4,bworf_mi,84,D274,0.04442042150377978
43,4,bworf_mi,85,D164,0.04438432673690218
43,4,bworf_mi,86,D441,0.04432963513896393
43,4,bworf_mi,87,D655,0.04366115363779377
43,4,bworf_mi,88,D214,0.04364760146738744
43,4,bworf_mi,89,D528,0.04326712657672882
43,4,bworf_mi,90,D245,0.04276703531018611
43,4,bworf_mi,91,D437,0.04269860943252635
43,4,bworf_mi,92,D542,0.04259912839647506
43,4,bworf_mi,93,D351,0.042302350657869026
43,4,bworf_mi,94,D548,0.041718875906610275
43,4,bworf_mi,95,D234,0.04157873461087602
43,4,bworf_mi,96,D403,0.04154525100579587
43,4,bworf_mi,97,D298,0.04148724422527428
43,4,bworf_mi,98,D564,0.04142887353230251
43,4,bworf_mi,99,D038,0.04140686958911055
43,4,bworf_mi,100,D503,0.04111642404223037
43,4,bworf_mi,101,D632,0.04109951980429938
43,4,bworf_mi,102,D530,0.04089355720514365
43,4,bworf_mi,103,D434,0.040816106572173716
43,4,bworf_mi,104,D449,0.04069679395043169
43,4,bworf_mi,105,D646,0.04066957403591753
43,4,bworf_mi,106,D673,0.040547000358501784
43,4,bworf_mi,107,D404,0.0405073052888234
43,4,bworf_mi,108,D095,0.04040522612775943
43,4,bworf_mi,109,D156,0.04021802856835621
43,4,bworf_mi,110,D309,0.040174575993928485
43,4,bworf_mi,111,D497,0.03975942624451134
43,4,bworf_mi,112,D171,0.03967366207482281
43,4,bworf_mi,113,D710,0.03966930834913862
43,4,bworf_mi,114,D347,0.03945351004073516
43,4,bworf_mi,115,D689,0.03940460639822452
43,4,bworf_mi,116,D020,0.0391472557947683
43,4,bworf_mi,117,D620,0.03910918166096766
43,4,bworf_mi,118,D702,0.039096721043475835
43,4,bworf_mi,119,D169,0.03903704933958663
43,4,bworf_mi,120,D276,0.038713890535958084
43,4,bworf_mi,121,D611,0.038434678994013094
43,4,bworf_mi,122,D155,0.03812478742171188
43,4,bworf_mi,123,D556,0.037536012205865665
43,4,bworf_mi,124,D285,0.03750554258537653
43,4,bworf_mi,125,D321,0.03744350369045013
43,4,bworf_mi,126,D202,0.03738105468780306
43,4,bworf_mi,127,D365,0.03737709796910238
43,4,bworf_mi,128,D314,0.037317543198636116
43,4,bworf_mi,129,D380,0.03728182440221617
43,4,bworf_mi,130,D243,0.03728112329303901
43,4,bworf_mi,131,D496,0.03719449356991178
