scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.432533,0.260253,0.460000,0.460000,410.000000,474.000000,0.000000,0.157913,5.269147,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.499200,0.254418,0.520000,0.520000,148.500000,149.500000,0.250000,1.001491,9.203509,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.481867,0.311695,0.460000,0.460000,433.000000,409.000000,0.000000,32.949741,75.866812,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.477244,0.255161,0.440000,0.440000,509.250000,493.000000,0.000000,0.160375,5.239855,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.529778,0.249447,0.500000,0.500000,727.750000,755.500000,0.000000,0.974490,9.211285,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.541067,0.302221,0.520000,0.520000,521.000000,417.000000,0.000000,31.798137,76.403631,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.518756,0.252184,0.493333,0.493333,381.500000,404.500000,0.000000,0.159092,5.179558,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.495378,0.254847,0.493333,0.493333,213.750000,211.500000,0.000000,0.906996,9.125207,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.566667,0.285723,0.566667,0.566667,517.500000,546.000000,0.000000,31.679563,74.958106,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.581778,0.245708,0.560000,0.560000,341.500000,256.000000,0.000000,0.158469,5.232977,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.558400,0.247645,0.540000,0.540000,461.750000,392.000000,0.000000,0.933907,9.266265,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.546489,0.294123,0.540000,0.540000,620.750000,588.500000,0.000000,31.926227,75.360459,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,100,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.549956,0.249101,0.533333,0.533333,548.000000,588.000000,0.000000,0.163127,5.250501,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,100,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.548356,0.248237,0.520000,0.520000,610.000000,603.500000,0.000000,0.943851,9.284459,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,100,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.579556,0.291775,0.546667,0.546667,304.500000,307.000000,0.250000,31.288621,75.751318,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,90,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.461600,0.260051,0.460000,0.460000,562.750000,627.500000,0.000000,0.162065,5.502883,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,90,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.478311,0.257208,0.460000,0.460000,785.000000,819.500000,0.000000,0.900942,9.267662,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,90,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.446222,0.344800,0.453333,0.453333,583.000000,615.500000,0.000000,30.631248,75.936965,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.423733,0.261844,0.460000,0.460000,422.250000,389.500000,0.000000,0.159319,5.376810,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.475378,0.253653,0.473333,0.473333,438.000000,431.500000,0.000000,0.891380,9.282925,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.506133,0.302081,0.506667,0.506667,854.500000,913.000000,0.000000,32.806438,75.527368,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.464356,0.258692,0.433333,0.433333,594.750000,643.500000,0.000000,0.159513,5.322773,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.539467,0.250601,0.546667,0.546667,573.500000,670.000000,0.000000,0.981326,9.328620,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,0,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.499556,0.318051,0.520000,0.520000,433.000000,440.000000,0.000000,32.616666,75.605438,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,12,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.473244,0.260715,0.493333,0.493333,607.000000,716.000000,0.250000,0.158394,5.089340,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,12,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.499467,0.254893,0.513333,0.513333,423.250000,424.500000,0.000000,0.982697,9.498626,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,12,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.527200,0.308689,0.526667,0.526667,407.250000,476.500000,0.250000,31.821810,76.295967,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,100,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.540356,0.252027,0.566667,0.566667,407.250000,433.500000,0.000000,0.159582,5.102072,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,100,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.482222,0.254555,0.453333,0.453333,407.000000,463.500000,0.000000,0.944553,9.336613,ok,
