scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",rf,42,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.563289,0.246087,0.533333,0.533333,420.000000,407.500000,0.000000,0.157481,5.113870,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",orf,42,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.500089,0.253265,0.520000,0.520000,627.000000,589.000000,0.000000,1.061381,9.394134,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",bworf,42,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.491733,0.300301,0.486667,0.486667,268.500000,205.500000,0.000000,27.241033,75.482181,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",rf,0,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.436978,0.259511,0.460000,0.460000,312.000000,231.500000,0.000000,0.157772,5.352234,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",orf,0,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.522222,0.252918,0.520000,0.520000,423.750000,349.000000,0.000000,0.961873,9.286786,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",bworf,0,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.485867,0.312259,0.473333,0.473333,359.250000,211.000000,0.000000,27.325284,74.791712,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",rf,12,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.489244,0.253789,0.460000,0.460000,748.750000,795.500000,0.000000,0.163766,5.426095,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",orf,12,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.462933,0.256039,0.453333,0.453333,484.250000,511.000000,0.000000,0.977697,9.274293,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",bworf,12,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.491111,0.310392,0.520000,0.520000,307.000000,278.500000,0.000000,27.134634,74.772366,ok,
687a747a76ad,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":""inf""}",rf,100,0,500,1000,2,0.005000,0.200000,inf,fixed,1.000000,1000,4,0.478311,0.254730,0.473333,0.473333,592.000000,629.000000,0.000000,0.159437,5.339919,ok,
