scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.529422,0.250615,0.533333,0.533333,564.500000,613.000000,0.000000,0.844352,11.678713,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.480978,0.302127,0.480000,0.480000,682.250000,623.500000,0.000000,28.120772,67.246367,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.501333,0.253055,0.520000,0.520000,612.500000,729.500000,0.000000,0.194045,7.220124,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.427556,0.260103,0.440000,0.440000,859.000000,844.500000,0.000000,0.835422,11.611249,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.484711,0.317598,0.480000,0.480000,570.250000,528.000000,0.000000,27.358185,67.506342,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.523378,0.251565,0.526667,0.526667,234.000000,213.500000,0.000000,0.190053,7.054695,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.486222,0.254585,0.513333,0.513333,309.250000,239.500000,0.000000,0.846042,11.659901,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.477067,0.313455,0.506667,0.506667,387.500000,352.500000,0.250000,27.887331,66.374579,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.454933,0.258135,0.440000,0.440000,570.500000,560.500000,0.000000,0.193126,7.116995,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.395289,0.261045,0.446667,0.446667,774.750000,858.000000,0.000000,0.840534,11.444798,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.476889,0.307231,0.480000,0.480000,669.000000,851.000000,0.000000,28.502829,66.063391,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.553244,0.247243,0.526667,0.526667,192.500000,238.000000,0.250000,0.192835,6.978382,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.527733,0.251251,0.546667,0.546667,623.750000,719.000000,0.000000,0.844194,11.718765,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.460711,0.322384,0.493333,0.493333,434.750000,441.000000,0.250000,27.609564,67.573275,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.516800,0.250928,0.520000,0.520000,332.500000,333.000000,0.000000,0.190639,6.950758,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.502400,0.251934,0.493333,0.493333,391.000000,433.000000,0.250000,0.847453,11.771956,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.489689,0.313287,0.480000,0.480000,413.750000,365.500000,0.250000,27.529928,67.527048,ok,
