scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.473244,0.251567,305.250000,328.500000,0.000000,4.050369,128.676280,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.445422,0.252896,622.250000,698.500000,0.000000,13.644117,251.875937,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.423378,0.328457,625.500000,640.000000,0.000000,31.410815,118.630869,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.540533,0.249112,202.500000,72.500000,0.000000,4.080286,129.411010,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.536889,0.248936,535.750000,482.000000,0.000000,13.510109,249.183028,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.488533,0.299540,300.500000,185.000000,0.000000,32.123512,118.318665,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.529600,0.249129,436.000000,445.500000,0.000000,4.041242,130.285025,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.511644,0.249606,619.250000,682.000000,0.000000,13.625187,248.328929,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.478222,0.313541,727.500000,869.000000,0.000000,32.227465,118.385004,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.546044,0.248847,635.750000,692.000000,0.000000,4.059071,129.877930,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.469333,0.251282,567.500000,639.000000,0.250000,13.553750,249.636112,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.468178,0.319811,385.750000,236.000000,0.000000,32.341901,119.669368,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.505511,0.249614,575.250000,568.000000,0.000000,4.039653,130.217632,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.539644,0.248465,565.750000,611.000000,0.000000,13.523483,248.681132,ok,
