scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,auprc,f1,balanced_acc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,100,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.471639,0.908001,0.951049,0.500000,0.086287,452.200000,457.000000,0.000000,0.546324,21.238618,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,100,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.540966,0.929588,0.951049,0.500000,0.085024,532.000000,582.000000,0.000000,1.438992,40.455487,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,100,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.335609,0.859351,0.951049,0.500000,0.092283,657.700000,833.000000,0.000000,94.551619,383.908580,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,100,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.343487,0.870719,0.912409,0.495273,0.138200,336.400000,187.000000,0.000000,76.882551,382.334594,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,90,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.453782,0.903736,0.951049,0.500000,0.086781,538.400000,593.000000,0.000000,0.562721,22.832799,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,90,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.464286,0.891231,0.951049,0.500000,0.085997,589.900000,514.000000,0.000000,1.488975,44.413244,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,90,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.440914,0.891857,0.951049,0.500000,0.093705,510.700000,702.500000,0.000000,94.053299,382.444277,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,90,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.411765,0.882574,0.900369,0.484244,0.140781,369.500000,316.000000,0.000000,82.408606,384.443760,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,42,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.543855,0.922243,0.951049,0.500000,0.085250,511.400000,533.000000,0.100000,0.548900,22.598684,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,42,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.536239,0.920129,0.951049,0.500000,0.084647,364.300000,347.500000,0.100000,1.554109,47.489430,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,42,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.572479,0.923041,0.951049,0.500000,0.090881,344.900000,331.500000,0.200000,99.461116,387.070203,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,42,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.553571,0.922318,0.920290,0.502626,0.118911,533.900000,558.000000,0.100000,88.835807,400.886822,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,0,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.477416,0.900315,0.951049,0.500000,0.085831,398.800000,398.000000,0.000000,0.560445,26.114153,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,0,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.488971,0.912468,0.951049,0.500000,0.085365,500.800000,512.500000,0.000000,1.379304,42.464729,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,0,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.488971,0.918349,0.951049,0.500000,0.092513,516.300000,511.000000,0.100000,95.513426,380.597531,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,0,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.382616,0.889264,0.936170,0.485294,0.112212,428.900000,430.500000,0.100000,84.282970,387.371360,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,12,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.357931,0.890893,0.951049,0.500000,0.088294,604.000000,684.000000,0.000000,0.552821,22.343539,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,12,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.482143,0.898541,0.951049,0.500000,0.085545,582.800000,593.500000,0.000000,1.414630,48.403781,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,12,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.547006,0.909235,0.947368,0.496324,0.092267,603.200000,559.000000,0.200000,98.837396,397.838625,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,12,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.503676,0.895975,0.891386,0.508929,0.138175,549.400000,581.500000,0.100000,83.614718,381.862317,ok,
