dataset,seed,fold,model_name,n_train,n_test,class0_train,class1_train,class2_train,class0_test,class1_test,class2_test,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,mcc,macro_auroc_ovr,macro_auprc_ovr,log_loss
dili_multiclass,42,1,orf_style,516,58,299,91,126,34,10,14,295.9804227743298,0.060663219541311264,0.5689655172413793,0.3941176470588235,0.35000000000000003,0.3941176470588235,0.49137931034482757,0.15010529703832645,0.6891247029114677,0.5596518681313251,0.9474055059657658
dili_multiclass,42,1,bworf_no_mi,516,58,299,91,126,34,10,14,309.0645937193185,0.06010229326784611,0.5689655172413793,0.5487394957983194,0.5212853850502239,0.5487394957983194,0.5863673372688791,0.3161454479991276,0.6647599949070537,0.5302493940953648,1.0169938839697088
dili_multiclass,42,1,bworf_mi,516,58,299,91,126,34,10,14,370.0527655147016,0.10027798637747765,0.5344827586206896,0.48207282913165267,0.47040415276232844,0.48207282913165267,0.5521614053929653,0.2408255293535674,0.652571407350819,0.5028610712126674,0.9891603724811373
dili_multiclass,42,2,orf_style,516,58,299,91,126,34,10,14,286.4857469070703,0.060221096500754356,0.5862068965517241,0.36134453781512604,0.3250544662309368,0.36134453781512604,0.4950191570881226,0.1279591843396459,0.6157862766318648,0.4190695164991012,0.9740950441164186
dili_multiclass,42,2,bworf_no_mi,516,58,299,91,126,34,10,14,304.7698557525873,0.05878058075904846,0.5344827586206896,0.39299719887955176,0.3918099918099918,0.39299719887955176,0.5122426501736846,0.12921249243334337,0.6525310881928529,0.4525788123450327,0.9575307339406012
dili_multiclass,42,2,bworf_mi,516,58,299,91,126,34,10,14,446.05922119505703,0.097669567912817,0.5172413793103449,0.4862745098039216,0.4684672815107598,0.4862745098039216,0.5336377265912498,0.2264582607632322,0.6672825948561242,0.5379464094190247,0.9553700742401134
dili_multiclass,42,3,orf_style,516,58,299,91,126,34,10,14,276.1328108496964,0.060993192717432976,0.5,0.3123249299719888,0.2884920634920635,0.3123249299719888,0.44166666666666676,-0.020023650774776205,0.6193216301672184,0.45147664384697134,1.0324097553070462
dili_multiclass,42,3,bworf_no_mi,516,58,299,91,126,34,10,14,281.2076571919024,0.05956745147705078,0.5517241379310345,0.5198879551820729,0.5014075178009604,0.5198879551820729,0.5641262826113024,0.27353023087071854,0.6059736015618369,0.4330433231447363,1.657330566019067
dili_multiclass,42,3,bworf_mi,516,58,299,91,126,34,10,14,309.00961431115866,0.0999743640422821,0.5,0.4294117647058824,0.419922913343966,0.4294117647058824,0.5050802947808393,0.15562770278146743,0.5759302584670232,0.44945954447006503,0.9993786900903806
dili_multiclass,42,4,orf_style,516,58,300,90,126,33,11,14,286.6947311926633,0.06191052682697773,0.4827586206896552,0.3304473304473305,0.31893837156995053,0.3304473304473305,0.4355018846851878,-0.012144852669911268,0.5476805286911669,0.39558395707075983,1.7311763902740296
dili_multiclass,42,4,bworf_no_mi,516,58,300,90,126,33,11,14,285.25606847181916,0.05901571549475193,0.41379310344827586,0.3376623376623377,0.34474244359301826,0.3376623376623377,0.43905844012859474,0.05908391889848873,0.5688794479751927,0.4403945156468973,1.1611342301716951
dili_multiclass,42,4,bworf_mi,516,58,300,90,126,33,11,14,454.3502330761403,0.09846365451812744,0.43103448275862066,0.34126984126984133,0.33902788987534754,0.34126984126984133,0.4515645728386815,0.08572747589150989,0.5912349943201006,0.45029502473742644,1.0209089929044823
dili_multiclass,42,5,orf_style,517,57,300,91,126,33,10,14,281.5812138635665,0.057962922379374504,0.5263157894736842,0.3494949494949495,0.30607364897178385,0.3494949494949495,0.43665836039165346,0.007379350008249888,0.5855071443208505,0.42153063757131015,1.033775735752826
dili_multiclass,42,5,bworf_no_mi,517,57,300,91,126,33,10,14,300.383469812572,0.059671249240636826,0.43859649122807015,0.413997113997114,0.4002886002886002,0.413997113997114,0.4654970760233918,0.13305681029744423,0.586437696395638,0.4230556536435163,1.1746660586195314
dili_multiclass,42,5,bworf_mi,517,57,300,91,126,33,10,14,335.81782247312367,0.09589674323797226,0.43859649122807015,0.3717171717171717,0.3583652618135376,0.3717171717171717,0.45244336895879544,0.09846076165385995,0.5621105972664607,0.44756567623984805,1.0525791405159795
dili_multiclass,42,6,orf_style,517,57,300,91,126,33,10,14,315.2679512836039,0.05923205986618996,0.5263157894736842,0.33997113997114,0.31097560975609756,0.33997113997114,0.44801026957638,0.004074190858041627,0.62553232842075,0.457863850528696,0.9976450502291712
dili_multiclass,42,6,bworf_no_mi,517,57,300,91,126,33,10,14,312.71427648328245,0.05918957106769085,0.49122807017543857,0.43896103896103894,0.43052631578947365,0.43896103896103894,0.516528162511542,0.20203464221220918,0.6210323469848457,0.46915685356982406,1.0729072692600299
dili_multiclass,42,6,bworf_mi,517,57,300,91,126,33,10,14,338.32111199200153,0.09589463099837303,0.49122807017543857,0.402020202020202,0.3949896342717878,0.402020202020202,0.5103503191344929,0.17793755212684395,0.5300634642173484,0.37899895891903707,1.0736221015513205
dili_multiclass,42,7,orf_style,517,57,300,91,126,33,10,14,274.5182226411998,0.05894165672361851,0.49122807017543857,0.31976911976911976,0.2956620060119688,0.31976911976911976,0.42946822670144374,-0.03130233895417311,0.5764147685473762,0.4632215236903215,1.1014107408134466
dili_multiclass,42,7,bworf_no_mi,517,57,300,91,126,33,10,14,292.61784230545163,0.06084178760647774,0.45614035087719296,0.441991341991342,0.42035742035742035,0.441991341991342,0.47536089641352797,0.16492019793163037,0.5269587530782484,0.418038213524803,1.2320537452924303
dili_multiclass,42,7,bworf_mi,517,57,300,91,126,33,10,14,280.86856923252344,0.10225554928183556,0.43859649122807015,0.3347763347763348,0.3222222222222222,0.3347763347763348,0.44853801169590635,0.07615114653409151,0.5611137320996301,0.43816190860065785,1.0498724163984239
dili_multiclass,42,8,orf_style,517,57,300,91,126,33,10,14,294.40092766471207,0.06022075563669205,0.543859649122807,0.3268398268398268,0.2751322751322751,0.3268398268398268,0.44082428292954606,0.007394132200657002,0.4590607662354322,0.3672119292735356,1.6801025428219825
dili_multiclass,42,8,bworf_no_mi,517,57,300,91,126,33,10,14,278.7350595612079,0.05899382568895817,0.40350877192982454,0.32409812409812405,0.32066182405165455,0.32409812409812405,0.42134998513232236,0.03031567243636254,0.46270215229270156,0.3677481827570059,1.7517569198411187
dili_multiclass,42,8,bworf_mi,517,57,300,91,126,33,10,14,320.720733853057,0.09903046488761902,0.38596491228070173,0.313997113997114,0.31030139451192085,0.313997113997114,0.38535880862750665,-0.061834953742428055,0.4915515692729943,0.4503907701406202,1.0762065990324403
dili_multiclass,42,9,orf_style,517,57,300,91,126,33,10,14,295.97013132832944,0.0599014088511467,0.45614035087719296,0.29956709956709954,0.2803412274000509,0.29956709956709954,0.40734188412206984,-0.07476215739036991,0.5171085278457866,0.34813913994545614,1.1371933825391096
dili_multiclass,42,9,bworf_no_mi,517,57,300,91,126,33,10,14,284.54175374656916,0.058834297582507133,0.3508771929824561,0.336075036075036,0.31502583438067305,0.336075036075036,0.3715902659875495,0.004016809367470014,0.5046382631241612,0.3451460751290711,1.262564638507303
dili_multiclass,42,9,bworf_mi,517,57,300,91,126,33,10,14,330.9009638968855,0.10010306164622307,0.42105263157894735,0.3806637806637807,0.37222222222222223,0.3806637806637807,0.43450292397660817,0.05755462416077625,0.5593479206665748,0.44333066215387973,1.0607203117168256
dili_multiclass,42,10,orf_style,517,57,300,91,126,33,10,14,288.8339834343642,0.05964287184178829,0.45614035087719296,0.29004329004329005,0.2630992196209588,0.29004329004329005,0.3989907880068064,-0.10936230194506025,0.4197557679002508,0.3404336062580466,1.250480061812456
dili_multiclass,42,10,bworf_no_mi,517,57,300,91,126,33,10,14,288.37256425991654,0.060464950278401375,0.42105263157894735,0.38484848484848483,0.37558471538788646,0.38484848484848483,0.43454225138205455,0.06690918347881689,0.45986428217996744,0.3640697603963486,1.286829090203083
dili_multiclass,42,10,bworf_mi,517,57,300,91,126,33,10,14,349.5414530504495,0.09768288768827915,0.38596491228070173,0.34141414141414145,0.32320214951793896,0.34141414141414145,0.3948740984752065,0.02049257775415292,0.5329023428602845,0.3899098447454669,1.1113964780209158
dili_multiclass,43,1,orf_style,516,58,299,91,126,34,10,14,285.798525204882,0.0594949834048748,0.5172413793103449,0.30812324929971985,0.2718253968253968,0.30812324929971985,0.4349343185550082,-0.038241391576870586,0.4911820409982175,0.35179525179240617,1.1674565825132701
dili_multiclass,43,1,bworf_no_mi,516,58,299,91,126,34,10,14,293.1138180848211,0.0599539615213871,0.46551724137931033,0.3397759103641456,0.3341437861985807,0.3397759103641456,0.4467156210188803,0.01238616225235652,0.5242421589848061,0.3721781039140957,1.1474223183791616
dili_multiclass,43,1,bworf_mi,516,58,299,91,126,34,10,14,404.0680695734918,0.09722387790679932,0.43103448275862066,0.39467787114845937,0.3579709427925923,0.39467787114845937,0.4294658439345113,0.09487919068783848,0.5255854235633647,0.3734728637533711,1.0530540643214574
dili_multiclass,43,2,orf_style,516,58,299,91,126,34,10,14,317.75378508493304,0.06080631539225578,0.603448275862069,0.44173669467787113,0.438634713144517,0.44173669467787113,0.5487191045000376,0.2119650381143692,0.6838606654783126,0.5058785916079686,0.9220709307390517
dili_multiclass,43,2,bworf_no_mi,516,58,299,91,126,34,10,14,312.28620819188654,0.05887068249285221,0.5517241379310345,0.515406162464986,0.5054545454545455,0.515406162464986,0.5578683385579938,0.23763557652805478,0.6751498705542822,0.5126478206725501,1.000543028840557
dili_multiclass,43,2,bworf_mi,516,58,299,91,126,34,10,14,349.4973136931658,0.10073204897344112,0.43103448275862066,0.3952380952380952,0.37960834397616,0.3952380952380952,0.44985687233011845,0.09123032675831938,0.6014193935149817,0.43732289052060275,1.0268213408840847
dili_multiclass,43,3,orf_style,516,58,299,91,126,34,10,14,320.5947861317545,0.05853790603578091,0.5689655172413793,0.38459383753501397,0.36097105508870214,0.38459383753501397,0.4914710711870955,0.10420467559135611,0.6187942980222392,0.46186102185686134,1.0226747222130976
dili_multiclass,43,3,bworf_no_mi,516,58,299,91,126,34,10,14,308.42476826533675,0.059306371957063675,0.43103448275862066,0.4047619047619047,0.376903460837887,0.4047619047619047,0.44214056905973237,0.08853674815812268,0.628342511246923,0.47198982237354353,1.099176355602437
dili_multiclass,43,3,bworf_mi,516,58,299,91,126,34,10,14,348.60192684084177,0.10096981190145016,0.5517241379310345,0.4683473389355743,0.46473756128928545,0.4683473389355743,0.561757148915294,0.2393440195844819,0.6061696269416857,0.4568653821224193,1.0203609991992442
dili_multiclass,43,4,orf_style,516,58,300,90,126,33,11,14,282.2406761497259,0.059430284425616264,0.5,0.31313131313131315,0.26930894308943093,0.31313131313131315,0.41226871320437347,-0.034236237260696106,0.5127892910871634,0.4035405964040717,1.118643469072357
dili_multiclass,43,4,bworf_no_mi,516,58,300,90,126,33,11,14,273.6303669642657,0.060033272951841354,0.39655172413793105,0.32756132756132755,0.332176829444589,0.32756132756132755,0.41574171280219896,0.020114295366844583,0.4908914371680329,0.3726380138479614,1.2107993578805694
dili_multiclass,43,4,bworf_mi,516,58,300,90,126,33,11,14,364.60413757525384,0.09757443517446518,0.5517241379310345,0.4862914862914863,0.4873496873496874,0.4862914862914863,0.5610091058366922,0.25179135009372355,0.6092396610481717,0.43265452559788836,1.0033385965772434
dili_multiclass,43,5,orf_style,517,57,300,91,126,33,10,14,311.2330894898623,0.06003887206315994,0.47368421052631576,0.28643578643578643,0.25555555555555554,0.28643578643578643,0.4105263157894737,-0.06141766707003923,0.635497555846393,0.4618813564338313,1.5887144812062113
dili_multiclass,43,5,bworf_no_mi,517,57,300,91,126,33,10,14,294.72826803289354,0.05804887041449547,0.543859649122807,0.5252525252525252,0.51059424283468,0.5252525252525252,0.5578867068657117,0.2594816030570014,0.662074706681337,0.47916643379795415,1.1000689796079597
dili_multiclass,43,5,bworf_mi,517,57,300,91,126,33,10,14,366.3327328674495,0.10010455921292305,0.5614035087719298,0.5395382395382397,0.5168035030103996,0.5395382395382397,0.5724598853455478,0.30349370065488185,0.6579965913464182,0.499836401924786,0.9801088664210456
dili_multiclass,43,6,orf_style,517,57,300,91,126,33,10,14,294.48441502451897,0.060472385957837105,0.5964912280701754,0.43102453102453103,0.434010434010434,0.43102453102453103,0.5476102844523897,0.20612493388719158,0.6061736447436595,0.4615756339247316,1.0166863297991724
