dataset_name,seed,fold_id,model,task_type,n_train,n_test,n_classes,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,mcc,auroc_macro_ovr,auprc_macro_ovr,log_loss,brier_multiclass,fit_seconds,pred_seconds,model_params_json,notes
thyroid,43,1,bworf_no_mi,multiclass,193,22,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2866509331047788,0.14295000000000022,14.392961094155908,0.020314591005444527,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,2,bworf_no_mi,multiclass,193,22,3,0.9090909090909091,0.9555555555555556,0.8915343915343915,0.85,0.9555555555555556,0.8411944396780756,0.9794973544973544,0.9771734892787524,0.3775873861336023,0.21575454545454556,14.71269672550261,0.02078876458108425,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,3,bworf_no_mi,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9408866995073892,0.9166666666666666,0.9777777777777779,0.9152086306448588,1.0,1.0,0.28185292946886575,0.14012500000000014,15.130634143948555,0.020639602094888687,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,4,bworf_no_mi,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9514687100893998,0.9333333333333332,0.9777777777777779,0.9147029422212679,0.9904761904761904,0.9962962962962963,0.4898629223660002,0.2064068181818184,13.597204465419054,0.020756753161549568,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,5,bworf_no_mi,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26690354706924774,0.12252380952380969,14.67633200995624,0.01981174945831299,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,6,bworf_no_mi,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31345083908883237,0.1594285714285716,14.180739063769579,0.01943240687251091,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,7,bworf_no_mi,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3121048700241554,0.15026666666666683,14.647781139239669,0.0195318553596735,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,8,bworf_no_mi,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27139073176715467,0.12627380952380973,14.69833536632359,0.019719045609235764,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,43,9,bworf_no_mi,multiclass,194,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2779614354016662,0.13100238095238115,14.617529727518559,0.019450001418590546,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
thyroid,44,0,bworf_no_mi,multiclass,193,22,3,0.9545454545454546,0.9777777777777779,0.9514687100893998,0.9333333333333332,0.9777777777777779,0.9147029422212679,1.0,1.0,0.3156838923882427,0.16448409090909108,14.810821436345577,0.020852793008089066,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",
