seed,fold,model_name,rank,feature_name,mi_score
46,4,bworf_mi,1,D425,0.08800839179963815
46,4,bworf_mi,2,D201,0.08174469002088358
46,4,bworf_mi,3,D316,0.07721490594902902
46,4,bworf_mi,4,D315,0.0754256819731145
46,4,bworf_mi,5,D155,0.07385968426911438
46,4,bworf_mi,6,D589,0.07194099802110987
46,4,bworf_mi,7,D367,0.0712862394545204
46,4,bworf_mi,8,D185,0.06875203743222347
46,4,bworf_mi,9,D598,0.06772027685298898
46,4,bworf_mi,10,D426,0.06705222805957889
46,4,bworf_mi,11,D619,0.0656271743759691
46,4,bworf_mi,12,D597,0.0636455758271064
46,4,bworf_mi,13,D224,0.06262967488180426
46,4,bworf_mi,14,D191,0.061939559858019466
46,4,bworf_mi,15,D424,0.05973037299913653
46,4,bworf_mi,16,D547,0.05963622202003149
46,4,bworf_mi,17,D546,0.05760917295995993
46,4,bworf_mi,18,D523,0.057092358873090276
46,4,bworf_mi,19,D434,0.056714146470100424
46,4,bworf_mi,20,D141,0.05602492978671503
46,4,bworf_mi,21,D161,0.05590433891991453
46,4,bworf_mi,22,D213,0.05561868720027752
46,4,bworf_mi,23,D261,0.05554813853472673
46,4,bworf_mi,24,D265,0.054620679116639925
46,4,bworf_mi,25,D347,0.05455848452400791
46,4,bworf_mi,26,D437,0.05445925528088069
46,4,bworf_mi,27,D271,0.05357349365191921
46,4,bworf_mi,28,D234,0.05340220209196511
46,4,bworf_mi,29,D291,0.05295018124198059
46,4,bworf_mi,30,D319,0.05282842095225471
46,4,bworf_mi,31,D214,0.05267202874517807
46,4,bworf_mi,32,D719,0.05198575138215089
46,4,bworf_mi,33,D314,0.05185059765024835
46,4,bworf_mi,34,D420,0.05149419055329485
46,4,bworf_mi,35,D649,0.05118907566187647
46,4,bworf_mi,36,D302,0.05102781470724804
46,4,bworf_mi,37,D301,0.05091368046860123
46,4,bworf_mi,38,D312,0.05040437795450248
46,4,bworf_mi,39,D221,0.05006552936223274
46,4,bworf_mi,40,D008,0.04980631407964076
46,4,bworf_mi,41,D233,0.04966632280507133
46,4,bworf_mi,42,D550,0.04843216086305535
46,4,bworf_mi,43,D272,0.04837285931045843
46,4,bworf_mi,44,D576,0.04796676245608311
46,4,bworf_mi,45,D149,0.04779150037972024
46,4,bworf_mi,46,D167,0.04774065187124399
46,4,bworf_mi,47,D610,0.047647297897623675
46,4,bworf_mi,48,D574,0.047645001676828835
46,4,bworf_mi,49,D334,0.04756439981676852
46,4,bworf_mi,50,D521,0.04743846731136525
46,4,bworf_mi,51,D093,0.046918234877694864
46,4,bworf_mi,52,D226,0.04676000534862945
46,4,bworf_mi,53,D156,0.04608319084970258
46,4,bworf_mi,54,D321,0.04598289463449423
46,4,bworf_mi,55,D698,0.045843400009944135
46,4,bworf_mi,56,D193,0.04536959666185725
46,4,bworf_mi,57,D549,0.04486467680056139
46,4,bworf_mi,58,D198,0.04474826102981333
46,4,bworf_mi,59,D333,0.04473495659776994
46,4,bworf_mi,60,D562,0.04454685072881093
46,4,bworf_mi,61,D202,0.04448059496344969
46,4,bworf_mi,62,D485,0.044288553237814554
46,4,bworf_mi,63,D307,0.04391639185029361
46,4,bworf_mi,64,D435,0.04321352622118879
46,4,bworf_mi,65,D238,0.04301099419967391
46,4,bworf_mi,66,D430,0.04297956154971061
46,4,bworf_mi,67,D296,0.04291973663464077
46,4,bworf_mi,68,D556,0.04284903412203955
46,4,bworf_mi,69,D533,0.04260761899853316
46,4,bworf_mi,70,D309,0.042546189249792477
46,4,bworf_mi,71,D200,0.04238741456660966
46,4,bworf_mi,72,D303,0.04227616491722985
46,4,bworf_mi,73,D748,0.042009777466743836
46,4,bworf_mi,74,D606,0.041783576907705955
46,4,bworf_mi,75,D744,0.04137991059848001
46,4,bworf_mi,76,D016,0.04128718420891109
46,4,bworf_mi,77,D324,0.04120007948464299
46,4,bworf_mi,78,D363,0.040942561361709595
46,4,bworf_mi,79,D190,0.040771337871710056
46,4,bworf_mi,80,D519,0.04076770411840602
46,4,bworf_mi,81,D282,0.04069120426342643
46,4,bworf_mi,82,D262,0.040646093245764625
46,4,bworf_mi,83,D718,0.04036766618081833
46,4,bworf_mi,84,D322,0.04031740702094355
46,4,bworf_mi,85,D268,0.039694773143064355
46,4,bworf_mi,86,D225,0.03968446584983276
46,4,bworf_mi,87,D471,0.03929248938932495
46,4,bworf_mi,88,D473,0.039266088567064816
46,4,bworf_mi,89,D409,0.03926543428168494
46,4,bworf_mi,90,D186,0.039239478316138277
46,4,bworf_mi,91,D417,0.03880303725813161
46,4,bworf_mi,92,D680,0.03877227685421425
46,4,bworf_mi,93,D195,0.038265399423313085
46,4,bworf_mi,94,D240,0.038165407029867815
46,4,bworf_mi,95,D415,0.03786982978977971
46,4,bworf_mi,96,D692,0.03771465286309583
46,4,bworf_mi,97,D477,0.03746466846855623
46,4,bworf_mi,98,D542,0.03722091825935392
46,4,bworf_mi,99,D438,0.037211025801616726
46,4,bworf_mi,100,D493,0.03706276995246971
46,4,bworf_mi,101,D305,0.0368504807389638
46,4,bworf_mi,102,D516,0.03670686746044782
46,4,bworf_mi,103,D136,0.03647548235482678
46,4,bworf_mi,104,D594,0.035929057410253984
46,4,bworf_mi,105,D230,0.035899971717734624
46,4,bworf_mi,106,D410,0.0357797815110521
46,4,bworf_mi,107,D555,0.03561748432684375
46,4,bworf_mi,108,D320,0.03561202849827505
46,4,bworf_mi,109,D530,0.03543325217956861
46,4,bworf_mi,110,D295,0.0353729364266584
46,4,bworf_mi,111,D120,0.035123274365819634
46,4,bworf_mi,112,D243,0.03505080770222113
46,4,bworf_mi,113,D662,0.03504005991022163
46,4,bworf_mi,114,D306,0.03486300931708497
46,4,bworf_mi,115,D219,0.034510947991456487
46,4,bworf_mi,116,D708,0.034482501790423115
46,4,bworf_mi,117,D581,0.034431740375003184
46,4,bworf_mi,118,D050,0.03438130765795888
46,4,bworf_mi,119,D245,0.03432914259454822
46,4,bworf_mi,120,D444,0.03431691176645635
46,4,bworf_mi,121,D318,0.03371729278071944
46,4,bworf_mi,122,D695,0.0336553323231048
46,4,bworf_mi,123,D298,0.03347660852139778
46,4,bworf_mi,124,D056,0.0331702561316789
46,4,bworf_mi,125,D717,0.03311621288817612
46,4,bworf_mi,126,D604,0.03310328409974095
46,4,bworf_mi,127,D252,0.0329110618518762
46,4,bworf_mi,128,D188,0.03288137714410877
46,4,bworf_mi,129,D323,0.03274441123781591
46,4,bworf_mi,130,D039,0.032556802159281695
46,4,bworf_mi,131,D622,0.032070366858275134
46,4,bworf_mi,132,D124,0.03194320812989093
46,4,bworf_mi,133,D706,0.03180978126520362
46,4,bworf_mi,134,D065,0.031108686950048092
46,4,bworf_mi,135,D279,0.030982656401639552
46,4,bworf_mi,136,D475,0.03095791387108937
46,4,bworf_mi,137,D479,0.030931651621081357
46,4,bworf_mi,138,D428,0.03084012908851741
46,4,bworf_mi,139,D168,0.030821002075873016
46,4,bworf_mi,140,D165,0.03074373663918517
46,4,bworf_mi,141,D061,0.03072071090177797
46,4,bworf_mi,142,D332,0.030583790475986472
46,4,bworf_mi,143,D663,0.030562537658580524
46,4,bworf_mi,144,D172,0.03053453237585435
46,4,bworf_mi,145,D545,0.030448017183029696
46,4,bworf_mi,146,D645,0.030405353882738906
46,4,bworf_mi,147,D242,0.03036640257254919
46,4,bworf_mi,148,D048,0.030293787671422878
46,4,bworf_mi,149,D308,0.03026236595146048
46,4,bworf_mi,150,D183,0.030186719064870582
46,4,bworf_mi,151,D374,0.029844984561196775
46,4,bworf_mi,152,D114,0.029844405132892105
46,4,bworf_mi,153,D116,0.029777266332074337
46,4,bworf_mi,154,D304,0.0296883150044549
46,4,bworf_mi,155,D596,0.029651715096239206
46,4,bworf_mi,156,D346,0.029619262335843777
46,4,bworf_mi,157,D400,0.0295764475595377
46,4,bworf_mi,158,D636,0.029546991912942966
46,4,bworf_mi,159,D433,0.029333611260597525
46,4,bworf_mi,160,D159,0.02929753354730047
46,4,bworf_mi,161,D703,0.029104136917880163
46,4,bworf_mi,162,D256,0.028830575141612913
46,4,bworf_mi,163,D192,0.02862115711710267
46,4,bworf_mi,164,D311,0.028609639134550058
46,4,bworf_mi,165,D513,0.028525048618967208
46,4,bworf_mi,166,D068,0.028504693518987434
46,4,bworf_mi,167,D577,0.028355891847345216
46,4,bworf_mi,168,D423,0.02835447358549148
46,4,bworf_mi,169,D416,0.028238574014825435
46,4,bworf_mi,170,D169,0.02800593288956743
46,4,bworf_mi,171,D187,0.027854193817003825
46,4,bworf_mi,172,D270,0.02784190323655622
46,4,bworf_mi,173,D135,0.02773383879749569
46,4,bworf_mi,174,D520,0.027637907078586377
46,4,bworf_mi,175,D404,0.027635844273305787
46,4,bworf_mi,176,D579,0.027593597452132856
46,4,bworf_mi,177,D132,0.02758260808869495
46,4,bworf_mi,178,D565,0.02756834877397063
46,4,bworf_mi,179,D281,0.027429141612643537
46,4,bworf_mi,180,D751,0.027401958271937588
46,4,bworf_mi,181,D497,0.027364461553366803
46,4,bworf_mi,182,D222,0.02731568125984052
46,4,bworf_mi,183,D660,0.027284917475494996
46,4,bworf_mi,184,D207,0.027260872003114445
46,4,bworf_mi,185,D253,0.02723038748185269
46,4,bworf_mi,186,D443,0.026946687658753188
46,4,bworf_mi,187,D062,0.026612037255901333
46,4,bworf_mi,188,D532,0.026591337071159904
46,4,bworf_mi,189,D563,0.026537740538773003
46,4,bworf_mi,190,D747,0.02648679196594128
46,4,bworf_mi,191,D227,0.026478836974272113
46,4,bworf_mi,192,D176,0.026441775277759483
46,4,bworf_mi,193,D457,0.0263819424326881
46,4,bworf_mi,194,D773,0.026187671316617145
46,4,bworf_mi,195,D666,0.026119642287811162
46,4,bworf_mi,196,D470,0.025986082780570463
46,4,bworf_mi,197,D665,0.025963712099920988
46,4,bworf_mi,198,D071,0.0257376180237725
46,4,bworf_mi,199,D491,0.02571901568619661
46,4,bworf_mi,200,D277,0.025681772536180647
46,4,bworf_mi,201,D678,0.025675505483154115
46,4,bworf_mi,202,D251,0.025650303254578066
46,4,bworf_mi,203,D042,0.025526526286044682
46,4,bworf_mi,204,D656,0.02534205372910714
46,4,bworf_mi,205,D729,0.02527615832212815
46,4,bworf_mi,206,D220,0.02522593751369384
46,4,bworf_mi,207,D131,0.025212308338072642
46,4,bworf_mi,208,D528,0.02519040994720889
46,4,bworf_mi,209,D147,0.02509609831614812
46,4,bworf_mi,210,D051,0.02503203175056168
46,4,bworf_mi,211,D158,0.024980247132637468
46,4,bworf_mi,212,D299,0.024903691196593414
46,4,bworf_mi,213,D686,0.024786642977146167
46,4,bworf_mi,214,D269,0.02472471081990779
46,4,bworf_mi,215,D760,0.02472088737021161
46,4,bworf_mi,216,D625,0.02471819529096564
46,4,bworf_mi,217,D182,0.024647035528323036
46,4,bworf_mi,218,D257,0.024580137292174564
46,4,bworf_mi,219,D122,0.024521738399507997
46,4,bworf_mi,220,D095,0.02447281999823625
46,4,bworf_mi,221,D616,0.024296570567163833
46,4,bworf_mi,222,D197,0.024282854314453317
46,4,bworf_mi,223,D427,0.02423436125503864
46,4,bworf_mi,224,D441,0.02419896045772707
46,4,bworf_mi,225,D125,0.024068694340246166
46,4,bworf_mi,226,D531,0.023886352798803356
46,4,bworf_mi,227,D456,0.023747190398001994
46,4,bworf_mi,228,D599,0.023738448184875027
46,4,bworf_mi,229,D351,0.023608967098713407
46,4,bworf_mi,230,D449,0.023559700119786697
46,4,bworf_mi,231,D527,0.02329982288941901
46,4,bworf_mi,232,D123,0.02314256291390171
