dataset,seed,fold,model_name,n_train,n_test,class0_train,class1_train,class2_train,class0_test,class1_test,class2_test,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,mcc,macro_auroc_ovr,macro_auprc_ovr,log_loss
dili_multiclass,42,1,rf,516,58,299,91,126,34,10,14,0.1787392720580101,0.0605868659913539,0.5862068965517241,0.3473389355742297,0.2864066975104649,0.3473389355742297,0.4631127925792557,0.0755353657543938,0.6965845429080724,0.4882681594452344,0.8851050200128623
dili_multiclass,42,1,lr,516,58,299,91,126,34,10,14,0.1355322953313589,0.0039994455873966,0.603448275862069,0.5448179271708684,0.5339385252428731,0.5448179271708684,0.6113020412870489,0.3292814934624176,0.6534552457346575,0.503290800856002,2.132179453397581
dili_multiclass,42,1,svm_rbf,516,58,299,91,126,34,10,14,0.3573391176760196,0.0235623680055141,0.5862068965517241,0.3333333333333333,0.2463768115942028,0.3333333333333333,0.4332833583208396,0.0,0.5691213606654782,0.4081976673399798,0.9518379546108704
dili_multiclass,42,1,xgb,516,58,299,91,126,34,10,14,7.424157364293933,0.0036633126437664,0.603448275862069,0.4131652661064426,0.3980920931939093,0.4131652661064426,0.5501679539976847,0.2167413254583637,0.6392873058314235,0.4874104411214268,1.122419830903377
dili_multiclass,42,1,naive_bayes,516,58,299,91,126,34,10,14,0.0029930472373962,0.0033546388149261,0.2586206896551724,0.3431372549019607,0.1505030181086519,0.3431372549019607,0.1286893776451814,0.0813930320265965,0.5121620617944148,0.339809971175403,5.595483605984492
dili_multiclass,42,2,rf,516,58,299,91,126,34,10,14,0.172870185226202,0.064412847161293,0.5,0.3123249299719888,0.2777777777777777,0.3123249299719888,0.4310344827586206,-0.0464921559749136,0.6401902427637721,0.4502654261901701,0.931122016462177
dili_multiclass,42,2,lr,516,58,299,91,126,34,10,14,0.1183797419071197,0.0010316856205463,0.5172413793103449,0.3831932773109243,0.3823571855608469,0.3831932773109243,0.4953518973088135,0.0937062693902084,0.6774483278159749,0.4915967753028977,1.7892030528002336
dili_multiclass,42,2,svm_rbf,516,58,299,91,126,34,10,14,0.3468029405921697,0.0217506494373083,0.603448275862069,0.3571428571428571,0.2935286935286935,0.3571428571428571,0.4702286219527599,0.1670699078440665,0.5201351752822342,0.4122764512321501,0.946905050089536
dili_multiclass,42,2,xgb,516,58,299,91,126,34,10,14,18.48367785476148,0.0023867823183536,0.603448275862069,0.4602240896358543,0.4690572585309427,0.4602240896358543,0.5740412038052691,0.2374493755534442,0.6424205288175876,0.4612364179347552,1.1348789932676178
dili_multiclass,42,2,naive_bayes,516,58,299,91,126,34,10,14,0.0030405968427658,0.0012878477573394,0.2413793103448276,0.3333333333333333,0.1296296296296296,0.3333333333333333,0.0938697318007662,0.0,0.5,0.3333333333333333,5.756976072158883
