model_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,macro_recall_mean,macro_recall_std,weighted_f1_mean,weighted_f1_std,mcc_mean,mcc_std,macro_auroc_ovr_mean,macro_auroc_ovr_std,macro_auprc_ovr_mean,macro_auprc_ovr_std,log_loss_mean,log_loss_std
bworf_mi,0.45405928614640045,0.06546259634273219,0.40552397928868517,0.06760229299390452,0.39190430385932745,0.06485066666612549,0.40552397928868517,0.06760229299390452,0.4686314892126269,0.06322401974893865,0.12782353634052104,0.09346233112018795,0.586503125631272,0.053329359138708676,0.45007294549124877,0.04852748369745197,1.0291656326688003,0.03999004222981385
bworf_no_mi,0.45061705989110706,0.06963000404129686,0.4046328834564128,0.07222199109738396,0.39213375503367315,0.06780284903188928,0.4046328834564128,0.07222199109738396,0.4640673756736662,0.06675352703254346,0.11272945775725313,0.10221591483857628,0.5733516710920195,0.061865433460611824,0.43194579708517244,0.05452091945212064,1.176576890144106,0.17482543997770633
lr,0.4818935269207501,0.06358051642625753,0.39631949749596806,0.0671235352019036,0.39150357939483593,0.06439801835400324,0.39631949749596806,0.0671235352019036,0.4823704026858281,0.06178526161649084,0.10653002388126001,0.11102025014254749,0.5709587129792415,0.055831985787676924,0.42424855471794815,0.047789355201997244,2.531509824479031,0.47867066927715457
naive_bayes,0.27750151240169385,0.10017740274917454,0.33334929123164414,0.01510495650911142,0.15088572207928927,0.03668937754806924,0.33334929123164414,0.01510495650911142,0.14545129398372303,0.09730470526332083,0.011059280616376512,0.07822368902371765,0.5060208072618739,0.012316060999160992,0.3377629387301443,0.006217636330991245,8.700052749259656,6.425368282958702
orf_style,0.5282577132486388,0.042002937735305966,0.3472155165096341,0.045032177186641216,0.3223371907550344,0.055865913576219055,0.3472155165096341,0.045032177186641216,0.46148957438189553,0.04463365423469755,0.03806595695221357,0.09779362420983619,0.5735116034324005,0.061694349123076024,0.4310147952279108,0.0530371358566514,1.1524267772980321,0.22212845634120412
rf,0.5874047186932849,0.03470061652671115,0.3720134114251761,0.03556794901133621,0.3279488078353067,0.04661380778184805,0.3720134114251761,0.03556794901133621,0.4876091417187351,0.04018864953882409,0.13015974630409363,0.10570079551425306,0.6403550208129974,0.05787351387109298,0.4811257910472612,0.053213784866400334,0.9209950633795111,0.03947649069192982
svm_rbf,0.5818753781004234,0.014692847707579872,0.3417816823699177,0.014718980678792619,0.26753760737477555,0.02586479448892401,0.3417816823699177,0.014718980678792619,0.44255800950563745,0.021048923348377387,0.05007950245332862,0.09152640497322988,0.5660983703166941,0.06722635364177529,0.4249852675119209,0.04808598414852948,0.9563052972440294,0.020510445766124073
xgb,0.6006775559588626,0.04875872312243698,0.42956353450471096,0.05201616834680875,0.4184592704646692,0.06299079769206672,0.42956353450471096,0.05201616834680875,0.5487258026948255,0.053183297362104025,0.22076317225491782,0.1070205092117619,0.6507800192911896,0.050204322400224106,0.4960121350508176,0.04650096988337425,1.1115851082509236,0.11476577178839831
