scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.529422,0.250615,564.500000,613.000000,0.000000,0.878836,17.424713,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.480978,0.302127,682.250000,623.500000,0.000000,35.208475,121.369013,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.501333,0.253055,612.500000,729.500000,0.000000,0.443247,10.512573,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.427556,0.260103,859.000000,844.500000,0.000000,0.871078,17.138529,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.484711,0.317598,570.250000,528.000000,0.000000,34.067281,120.549037,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.523378,0.251565,234.000000,213.500000,0.000000,0.256068,10.829377,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.486222,0.254585,309.250000,239.500000,0.000000,0.869635,18.284738,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.477067,0.313455,387.500000,352.500000,0.250000,34.035612,120.305958,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.454933,0.258135,570.500000,560.500000,0.000000,0.258809,10.524717,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.395289,0.261045,774.750000,858.000000,0.000000,0.934350,17.149506,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,12,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.476889,0.307231,669.000000,851.000000,0.000000,34.570807,119.782902,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.553244,0.247243,192.500000,238.000000,0.250000,0.255485,10.730449,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.527733,0.251251,623.750000,719.000000,0.000000,0.862418,17.281444,ok,
