dataset_name,seed,fold_id,model,task_type,n_train,n_test,n_classes,accuracy,balanced_accuracy,f1_pos,precision_pos,recall_pos,mcc,auroc,auprc,log_loss,brier,fit_seconds,pred_seconds,model_params_json,notes
breast_cancer,43,0,bworf_no_mi,binary,244,28,2,0.5714285714285714,0.5125,0.3333333333333333,0.3,0.375,0.023570226039551584,0.565625,0.4959752704389432,0.6533157939150154,0.23537767857142858,45.42934397235513,0.039717236533761024,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,1,bworf_no_mi,binary,244,28,2,0.75,0.7280701754385965,0.631578947368421,0.6,0.6666666666666666,0.4445906192369001,0.7836257309941521,0.700038904450669,0.5421140653325253,0.18597410714285714,45.400702660903335,0.04119531810283661,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.071
breast_cancer,43,2,bworf_no_mi,binary,245,27,2,0.5185185185185185,0.4407894736842105,0.23529411764705882,0.2222222222222222,0.25,-0.11470786693528087,0.5098684210526316,0.3397767857142857,0.6999628837995113,0.25174444444444444,45.00449842214584,0.03915002755820751,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,3,bworf_no_mi,binary,245,27,2,0.7037037037037037,0.6085526315789473,0.42857142857142855,0.5,0.375,0.238455241619133,0.6513157894736842,0.4899420024420025,0.5971983100326791,0.20950370370370366,44.8674009591341,0.03844228573143482,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,4,bworf_no_mi,binary,245,27,2,0.6296296296296297,0.555921052631579,0.375,0.375,0.375,0.1118421052631579,0.5822368421052632,0.49209656084656084,0.7217989757330571,0.23948796296296296,45.545985313132405,0.03907328471541405,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,5,bworf_no_mi,binary,245,27,2,0.7407407407407407,0.743421052631579,0.631578947368421,0.5454545454545454,0.75,0.4524322889411796,0.8289473684210527,0.5915334665334665,0.47832679992134153,0.15799722222222223,46.550245678052306,0.03840393200516701,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,6,bworf_no_mi,binary,245,27,2,0.5925925925925926,0.6019736842105263,0.47619047619047616,0.38461538461538464,0.625,0.18638210221950421,0.7105263157894737,0.6215277777777778,0.6457251465132395,0.2279462962962963,44.44563491269946,0.03841716796159744,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.037
breast_cancer,43,7,bworf_no_mi,binary,245,27,2,0.4074074074074074,0.3256578947368421,0.1111111111111111,0.1,0.125,-0.32970809868815365,0.44078947368421056,0.2736163958590429,0.8464527252507765,0.3112657407407408,43.13666673004627,0.037615370005369186,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,8,bworf_no_mi,binary,245,27,2,0.7037037037037037,0.7171052631578947,0.6,0.5,0.75,0.3990119375605064,0.6644736842105263,0.4701557500470544,0.6350583659781479,0.22536851851851852,45.781529979780316,0.03918987326323986,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,9,bworf_no_mi,binary,245,27,2,0.6666666666666666,0.5822368421052632,0.4,0.42857142857142855,0.375,0.17137765534596305,0.5921052631578948,0.3952256077256077,0.7217060596777165,0.24675277777777774,43.65675943531096,0.037417737767100334,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,44,0,bworf_no_mi,binary,244,28,2,0.5357142857142857,0.525,0.38095238095238093,0.3076923076923077,0.5,0.04529108136578383,0.546875,0.32091037252221466,1.0252283099003259,0.3232669642857143,45.033051896840334,0.03870460018515587,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",
breast_cancer,44,1,bworf_no_mi,binary,244,28,2,0.5714285714285714,0.47953216374269003,0.25,0.2857142857142857,0.2222222222222222,-0.044151078568834795,0.41520467836257313,0.3613151765929543,0.8880683022843678,0.28581785714285707,43.009029207751155,0.0388861708343029,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",
breast_cancer,44,2,bworf_no_mi,binary,245,27,2,0.4444444444444444,0.3881578947368421,0.21052631578947367,0.18181818181818182,0.25,-0.20787429491892037,0.4703947368421053,0.32499975115464247,0.8541844195242025,0.3121324074074074,45.19680868089199,0.03858412243425846,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",pred_mismatch_rate=0.037
breast_cancer,44,3,bworf_no_mi,binary,245,27,2,0.7037037037037037,0.5723684210526316,0.3333333333333333,0.5,0.25,0.18604027516022806,0.6447368421052632,0.429047552688857,0.6176566451877271,0.21186759259259255,46.02024118043482,0.03956266678869724,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",pred_mismatch_rate=0.037
breast_cancer,44,4,bworf_no_mi,binary,245,27,2,0.7407407407407407,0.743421052631579,0.631578947368421,0.5454545454545454,0.75,0.4524322889411796,0.7565789473684211,0.6931030020703934,0.5822471807373272,0.1901138888888889,44.87537995353341,0.03825371153652668,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":44}",pred_mismatch_rate=0.037
