seed,fold,model_name,rank,feature_name,mi_score
43,8,bworf_mi,1,D367,0.09875175868212072
43,8,bworf_mi,2,D233,0.08178683403007203
43,8,bworf_mi,3,D708,0.08090188126969267
43,8,bworf_mi,4,D314,0.079394369199846
43,8,bworf_mi,5,D547,0.07719918160036254
43,8,bworf_mi,6,D271,0.07642179201702204
43,8,bworf_mi,7,D201,0.07585587833300678
43,8,bworf_mi,8,D556,0.0746705897529718
43,8,bworf_mi,9,D403,0.07461318441615594
43,8,bworf_mi,10,D425,0.07410466799401427
43,8,bworf_mi,11,D296,0.07394498169440644
43,8,bworf_mi,12,D316,0.0733887587958526
43,8,bworf_mi,13,D315,0.07287702386786732
43,8,bworf_mi,14,D416,0.07250779156006293
43,8,bworf_mi,15,D323,0.07196870631098551
43,8,bworf_mi,16,D224,0.07102268382474763
43,8,bworf_mi,17,D291,0.07055170798015742
43,8,bworf_mi,18,D214,0.06987139099592232
43,8,bworf_mi,19,D600,0.06961979796907203
43,8,bworf_mi,20,D545,0.0673244044928829
43,8,bworf_mi,21,D755,0.06632625464529363
43,8,bworf_mi,22,D301,0.06610651299280756
43,8,bworf_mi,23,D048,0.06594965149750665
43,8,bworf_mi,24,D513,0.06546008692997174
43,8,bworf_mi,25,D420,0.06542842916078984
43,8,bworf_mi,26,D694,0.06410011877505273
43,8,bworf_mi,27,D238,0.06346483803509995
43,8,bworf_mi,28,D434,0.06336284920427371
43,8,bworf_mi,29,D594,0.06258696063969915
43,8,bworf_mi,30,D169,0.060696742599667175
43,8,bworf_mi,31,D033,0.06055889328340536
43,8,bworf_mi,32,D183,0.06051505388417011
43,8,bworf_mi,33,D245,0.060453752283692985
43,8,bworf_mi,34,D739,0.06021836501512334
43,8,bworf_mi,35,D589,0.06001910859467552
43,8,bworf_mi,36,D197,0.059811980545435794
43,8,bworf_mi,37,D624,0.0597836255806945
43,8,bworf_mi,38,D302,0.059755787831685
43,8,bworf_mi,39,D088,0.05844847866140701
43,8,bworf_mi,40,D704,0.05842619266642979
43,8,bworf_mi,41,D234,0.05745439789106377
43,8,bworf_mi,42,D274,0.056790313476997145
43,8,bworf_mi,43,D428,0.056146625722691246
43,8,bworf_mi,44,D165,0.05544903246946831
43,8,bworf_mi,45,D763,0.055405164778256966
43,8,bworf_mi,46,D555,0.055375728943229285
43,8,bworf_mi,47,D168,0.05506205707051337
43,8,bworf_mi,48,D167,0.05489626342985332
43,8,bworf_mi,49,D038,0.05488438775981419
43,8,bworf_mi,50,D134,0.054577939009709864
43,8,bworf_mi,51,D202,0.054168811216965373
43,8,bworf_mi,52,D172,0.05413661575708706
43,8,bworf_mi,53,D141,0.053947618831578836
43,8,bworf_mi,54,D309,0.053141362944628456
43,8,bworf_mi,55,D417,0.053001287408570796
43,8,bworf_mi,56,D606,0.05251401637509301
43,8,bworf_mi,57,D193,0.05232852401311572
43,8,bworf_mi,58,D182,0.0521734744253608
43,8,bworf_mi,59,D746,0.05214283862969049
43,8,bworf_mi,60,D576,0.05180925044929152
43,8,bworf_mi,61,D020,0.05178652065890654
43,8,bworf_mi,62,D149,0.051738097914862724
43,8,bworf_mi,63,D113,0.05173502642553429
43,8,bworf_mi,64,D254,0.05171888005323977
43,8,bworf_mi,65,D574,0.051483942312846365
43,8,bworf_mi,66,D185,0.051481087604329234
43,8,bworf_mi,67,D444,0.05047984301444508
43,8,bworf_mi,68,D427,0.05030499532906285
43,8,bworf_mi,69,D200,0.050116993847511004
43,8,bworf_mi,70,D435,0.05010235137163943
43,8,bworf_mi,71,D560,0.04981228241066016
43,8,bworf_mi,72,D546,0.049544629980752264
43,8,bworf_mi,73,D630,0.049196268589454695
43,8,bworf_mi,74,D095,0.04895248181740053
43,8,bworf_mi,75,D155,0.04877248503193532
43,8,bworf_mi,76,D191,0.04854518141890707
43,8,bworf_mi,77,D243,0.04827693134481237
43,8,bworf_mi,78,D018,0.04748845629134024
43,8,bworf_mi,79,D312,0.047351542437269245
43,8,bworf_mi,80,D412,0.04702418845525935
43,8,bworf_mi,81,D242,0.046956755666965444
43,8,bworf_mi,82,D566,0.046809334041652884
43,8,bworf_mi,83,D516,0.046577371471923756
43,8,bworf_mi,84,D123,0.046574623957735595
43,8,bworf_mi,85,D184,0.04650623130337417
43,8,bworf_mi,86,D475,0.04601014190136765
43,8,bworf_mi,87,D177,0.045948040943657675
43,8,bworf_mi,88,D276,0.045740700047067095
43,8,bworf_mi,89,D153,0.04571712212408019
43,8,bworf_mi,90,D518,0.045301199178276796
43,8,bworf_mi,91,D407,0.04496954250772567
43,8,bworf_mi,92,D272,0.044843461974188426
43,8,bworf_mi,93,D125,0.044587624826808225
43,8,bworf_mi,94,D603,0.044546793869448154
43,8,bworf_mi,95,D429,0.0445362796486819
43,8,bworf_mi,96,D305,0.0444835051835446
43,8,bworf_mi,97,D419,0.0441999189754112
43,8,bworf_mi,98,D426,0.044164410635826545
43,8,bworf_mi,99,D290,0.04413803414868034
43,8,bworf_mi,100,D456,0.04366569102327733
43,8,bworf_mi,101,D226,0.04352123318922718
43,8,bworf_mi,102,D127,0.043430563025828484
43,8,bworf_mi,103,D486,0.043042362733180184
43,8,bworf_mi,104,D303,0.04273369168403973
43,8,bworf_mi,105,D297,0.042689011530745
43,8,bworf_mi,106,D450,0.042598758009416926
43,8,bworf_mi,107,D441,0.042561405813320796
43,8,bworf_mi,108,D532,0.04252821379010796
43,8,bworf_mi,109,D721,0.04239343079394198
43,8,bworf_mi,110,D539,0.04217952834188665
43,8,bworf_mi,111,D143,0.04217191966994416
43,8,bworf_mi,112,D024,0.04189620754951551
43,8,bworf_mi,113,D320,0.04181136579532141
43,8,bworf_mi,114,D508,0.041792601599012213
43,8,bworf_mi,115,D437,0.041405466595591855
43,8,bworf_mi,116,D225,0.041340738856857406
43,8,bworf_mi,117,D186,0.04102052525229083
43,8,bworf_mi,118,D227,0.040744482091306766
43,8,bworf_mi,119,D540,0.04073110921122591
43,8,bworf_mi,120,D235,0.04069351329365056
43,8,bworf_mi,121,D519,0.0405360413797915
43,8,bworf_mi,122,D404,0.04025764196846815
43,8,bworf_mi,123,D195,0.04014147308188831
43,8,bworf_mi,124,D199,0.03995749682349814
43,8,bworf_mi,125,D347,0.03977660840360575
43,8,bworf_mi,126,D161,0.039500132249213005
43,8,bworf_mi,127,D563,0.03947158619796176
