dataset_name,seed,fold_id,model,task_type,n_train,n_test,n_classes,accuracy,balanced_accuracy,f1_pos,precision_pos,recall_pos,mcc,auroc,auprc,log_loss,brier,fit_seconds,pred_seconds,model_params_json,notes
breast_cancer,42,0,rf,binary,244,28,2,0.6785714285714286,0.55,0.3076923076923077,0.4,0.25,0.1179535649239177,0.7,0.555163770053476,0.5478353887762673,0.1851775029722859,0.1574204470962286,0.05183720216155052,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,1,rf,binary,244,28,2,0.6785714285714286,0.6169590643274854,0.47058823529411764,0.5,0.4444444444444444,0.24182541670333724,0.6754385964912281,0.582278849461512,0.5892212813124058,0.20163731624854456,0.1489339955151081,0.027455775067210197,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,2,rf,binary,245,27,2,0.6296296296296297,0.555921052631579,0.375,0.375,0.375,0.1118421052631579,0.6907894736842105,0.45137553418803417,0.6142241602578336,0.21339826634559994,0.13071628287434578,0.026279931887984276,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,3,rf,binary,245,27,2,0.7777777777777778,0.6973684210526316,0.5714285714285714,0.6666666666666666,0.5,0.43355498476206,0.75,0.6943700396825396,0.5638977456671997,0.18861927840953996,0.13543255254626274,0.026146991178393364,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,4,rf,binary,245,27,2,0.7037037037037037,0.6447368421052632,0.5,0.5,0.5,0.2894736842105263,0.6973684210526315,0.6082025613275613,0.5746598713779,0.1965332030273137,0.13666977919638157,0.025557752698659897,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,5,rf,binary,245,27,2,0.6666666666666666,0.5460526315789473,0.3076923076923077,0.4,0.25,0.10827043935570554,0.6776315789473685,0.520959595959596,0.5856893886186334,0.19947784631803925,0.13370665349066257,0.02548351138830185,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,6,rf,binary,245,27,2,0.7777777777777778,0.6973684210526316,0.5714285714285714,0.6666666666666666,0.5,0.43355498476206,0.8157894736842106,0.7411458333333334,0.4879035422947101,0.15710557924772672,0.1367894448339939,0.02500346675515175,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,7,rf,binary,245,27,2,0.6296296296296297,0.5197368421052632,0.2857142857142857,0.3333333333333333,0.25,0.043355498476206004,0.5921052631578948,0.4748503044942673,0.612944515162284,0.21578144727031814,0.18032135628163815,0.03813656233251095,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,8,rf,binary,245,27,2,0.7407407407407407,0.6710526315789473,0.5333333333333333,0.5714285714285714,0.5,0.3564655231196031,0.4802631578947369,0.39340789645137475,0.697648020241323,0.24450503343764113,0.14216136001050472,0.025170203298330307,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,42,9,rf,binary,245,27,2,0.6666666666666666,0.5822368421052632,0.4,0.42857142857142855,0.375,0.17137765534596305,0.5460526315789473,0.4995486610576125,0.6292598702810432,0.22337234833745223,0.13559609092772007,0.025455670431256294,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":42}",
breast_cancer,43,0,rf,binary,244,28,2,0.75,0.675,0.5333333333333333,0.5714285714285714,0.5,0.36514837167011077,0.6593749999999999,0.6108465608465609,0.5783927614787095,0.19551592212790286,0.12817244604229927,0.025434140115976334,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,1,rf,binary,244,28,2,0.8928571428571429,0.8333333333333333,0.8,1.0,0.6666666666666666,0.7587869106393281,0.8830409356725146,0.8524891288049183,0.5219090127029958,0.17007573901384168,0.13406384550035,0.025606464594602585,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,2,rf,binary,245,27,2,0.6666666666666666,0.5460526315789473,0.3076923076923077,0.4,0.25,0.10827043935570554,0.5789473684210527,0.44720969819654033,0.6158307603661044,0.21409958247352762,0.1371089480817318,0.025320524349808693,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,3,rf,binary,245,27,2,0.7777777777777778,0.6611842105263157,0.5,0.75,0.375,0.41436243103868975,0.6776315789473685,0.6286087553750597,0.5439524031052938,0.18159206641342676,0.1373408455401659,0.02503107115626335,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,4,rf,binary,245,27,2,0.7037037037037037,0.6085526315789473,0.42857142857142855,0.5,0.375,0.238455241619133,0.5855263157894737,0.49263591800356504,0.6062218973927824,0.20868250533570076,0.18092978931963444,0.025231858715415,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,5,rf,binary,245,27,2,0.7407407407407407,0.7072368421052632,0.5882352941176471,0.5555555555555556,0.625,0.40147753427348304,0.8223684210526315,0.5781520562770562,0.5413213746580708,0.1790039273945729,0.13368641585111618,0.02530750073492527,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,6,rf,binary,245,27,2,0.7407407407407407,0.7796052631578947,0.6666666666666666,0.5384615384615384,0.875,0.5110476996341244,0.8618421052631579,0.8256410256410256,0.5513408452405829,0.18375808647956882,0.1290938500314951,0.02494276501238346,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,7,rf,binary,245,27,2,0.5925925925925926,0.4934210526315789,0.26666666666666666,0.2857142857142857,0.25,-0.013710212427677042,0.5197368421052632,0.3094585561497326,0.6469042291051402,0.22981263070008462,0.13822484016418457,0.025591636076569557,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
breast_cancer,43,8,rf,binary,245,27,2,0.7037037037037037,0.5723684210526316,0.3333333333333333,0.5,0.25,0.18604027516022806,0.5394736842105263,0.4925944224857268,0.5901419173200665,0.20231362644842596,0.20030704699456692,0.0481331218034029,"{""n_estimators"":100,""max_depth"":6,""class_weight"":""balanced"",""random_state"":43}",
